"","Species","Functional_group","ProjectID","PlotNumber","SiteSurveyor","Year","YearsSinceStart","RelocationConfidence","Latitude","Longitude","Elevation","present","Cover","Time"
"175","SPIRLUC","shrub","NCBG_ESSFplots","00NCe79","jpstamp",2000,24,"High",49.08811762,-120.9446303,1790,0,0,"historical"
"176","TIARTRI","herb","NCBG_ESSFplots","00NCe79","jpstamp",2000,24,"High",49.08811762,-120.9446303,1790,1,5,"historical"
"177","TSUGHET","tree","NCBG_ESSFplots","00NCe79","jpstamp",2000,24,"High",49.08811762,-120.9446303,1790,0,0,"historical"
"178","VACCMEM","shrub","NCBG_ESSFplots","00NCe79","jpstamp",2000,24,"High",49.08811762,-120.9446303,1790,1,45,"historical"
"179","VACCSCO","shrub","NCBG_ESSFplots","00NCe79","jpstamp",2000,24,"High",49.08811762,-120.9446303,1790,1,1,"historical"
"180","VALESIT","herb","NCBG_ESSFplots","00NCe79","jpstamp",2000,24,"High",49.08811762,-120.9446303,1790,1,15,"historical"
"181","ABIEAMA","tree","NCBG_ESSFplots","00NCe82","jpstamp",2000,24,"High/Med-High",49.04462405,-120.9646257,1810,0,0,"historical"
"182","ABIELAS","tree","NCBG_ESSFplots","00NCe82","jpstamp",2000,24,"High/Med-High",49.04462405,-120.9646257,1810,1,1.100000001,"historical"
"183","AMELALN","shrub","NCBG_ESSFplots","00NCe82","jpstamp",2000,24,"High/Med-High",49.04462405,-120.9646257,1810,0,0,"historical"
"184","ARNILAT","herb","NCBG_ESSFplots","00NCe82","jpstamp",2000,24,"High/Med-High",49.04462405,-120.9646257,1810,1,1,"historical"
"185","CHAMANG","herb","NCBG_ESSFplots","00NCe82","jpstamp",2000,24,"High/Med-High",49.04462405,-120.9646257,1810,0,0,"historical"
"186","CHIMUMB","shrub","NCBG_ESSFplots","00NCe82","jpstamp",2000,24,"High/Med-High",49.04462405,-120.9646257,1810,0,0,"historical"
"187","CLINUNI","herb","NCBG_ESSFplots","00NCe82","jpstamp",2000,24,"High/Med-High",49.04462405,-120.9646257,1810,0,0,"historical"
