"","PlotNumber","Site","ProjectID","Year","SiteSurveyor","Latitude","Longitude","Elevation","RelocationConfidence","Species","Functional_group","Cover"
"91","12-2000_2025","12-2000","Manning Park Project 2025",2025,"CML RNW",49.13547403,-120.763807,1956.121094,"High","POTEFLA","herb",2.5
"92","12-2000_2025","12-2000","Manning Park Project 2025",2025,"CML RNW",49.13547403,-120.763807,1956.121094,"High","EPILGLA","herb",0.3
"93","12-2000_2025","12-2000","Manning Park Project 2025",2025,"CML RNW",49.13547403,-120.763807,1956.121094,"High","THALOCC","herb",3.5
"94","12-2000_2025","12-2000","Manning Park Project 2025",2025,"CML RNW",49.13547403,-120.763807,1956.121094,"High","SENETRI","herb",2.75
"95","12-2000_2025","12-2000","Manning Park Project 2025",2025,"CML RNW",49.13547403,-120.763807,1956.121094,"High","HERAMAX","herb",0
"96","12-2000_2025","12-2000","Manning Park Project 2025",2025,"CML RNW",49.13547403,-120.763807,1956.121094,"High","ANGEARG","herb",0.5
"97","12-2000_2025","12-2000","Manning Park Project 2025",2025,"CML RNW",49.13547403,-120.763807,1956.121094,"High","PEDIBRA","herb",0.45
"98","12-2000_2025","12-2000","Manning Park Project 2025",2025,"CML RNW",49.13547403,-120.763807,1956.121094,"High","PEDIBRA","herb",1.3
"99","12-2000_2025","12-2000","Manning Park Project 2025",2025,"CML RNW",49.13547403,-120.763807,1956.121094,"High","CHAMANG","herb",0.15
"100","12-2000_2025","12-2000","Manning Park Project 2025",2025,"CML RNW",49.13547403,-120.763807,1956.121094,"High","PARNFIM","herb",0.35
"101","12-2000_2025","12-2000","Manning Park Project 2025",2025,"CML RNW",49.13547403,-120.763807,1956.121094,"High","ARNICOR","herb",0
"102","12-2000_2025","12-2000","Manning Park Project 2025",2025,"CML RNW",49.13547403,-120.763807,1956.121094,"High","ARNIPAR","herb",0.15
"103","12-2000_2025","12-2000","Manning Park Project 2025",2025,"CML RNW",49.13547403,-120.763807,1956.121094,"High","ERYTGRA","herb",0.25
"104","12-2000_2025","12-2000","Manning Park Project 2025",2025,"CML RNW",49.13547403,-120.763807,1956.121094,"High","HIERALB","herb",0.05
"105","12-2000_Error","12-2000","Manning Park Project 2025",2025,"CML RNW",49.13545702,-120.762864,1953.594971,"High","PICEENG","tree",43.5
"106","12-2000_Error","12-2000","Manning Park Project 2025",2025,"CML RNW",49.13545702,-120.762864,1953.594971,"High","ABIELAS","tree",47.5
"107","12-2000_Error","12-2000","Manning Park Project 2025",2025,"CML RNW",49.13545702,-120.762864,1953.594971,"High","PINUCON","tree",1.5
"108","12-2000_Error","12-2000","Manning Park Project 2025",2025,"CML RNW",49.13545702,-120.762864,1953.594971,"High","VACCSCO","shrub",9.5
"109","12-2000_Error","12-2000","Manning Park Project 2025",2025,"CML RNW",49.13545702,-120.762864,1953.594971,"High","VACCDEL","shrub",2
"110","12-2000_Error","12-2000","Manning Park Project 2025",2025,"CML RNW",49.13545702,-120.762864,1953.594971,"High","PAXIMYR","shrub",0.5
"111","12-2000_Error","12-2000","Manning Park Project 2025",2025,"CML RNW",49.13545702,-120.762864,1953.594971,"High","PHYLEMP","shrub",0.1
"112","12-2000_Error","12-2000","Manning Park Project 2025",2025,"CML RNW",49.13545702,-120.762864,1953.594971,"High","VACCCAE","shrub",0.05
